AKAM,VOl_CHANGE,TURNOVER,Predicted_AKAM
102.74,0.143097983,11.8219917,0.208982239
103.11,-0.199350431,9.46527256,-1.955985413
101.31,-0.028507882,9.19543769,0.427991333
101.9,0.032178619,9.517090771,0.781976318
102.84,-0.207923781,7.538261274,0.867954407
103.87,0.015103312,7.652113987,-0.292210693
103.74,0.101045729,8.42532742,-1.403467407
102.5,-0.191520873,6.811701359,1.78818512
104.45,0.610739553,10.9718768,-0.734217834
103.88,-0.418322107,6.382098183,0.2059375
104.25,0.008905296,6.438932654,0.173690796
104.59,0.02217994,6.581747792,-1.181186523
103.57,0.254083042,8.254058292,2.113319092
105.85,0.446185439,11.93689891,-0.004449463
106.01,-0.429169205,6.8139495,-0.400388489
105.77,0.200391963,8.179410215,-0.527575989
105.41,-0.078066678,7.540870833,-0.022281799
105.55,-0.11550531,6.669860211,0.681185913
106.4,1.234053496,14.90082452,0.434213257
107,-0.093681398,13.50489445,2.629905701
109.8,0.825468788,24.65276331,1.652888489
111.63,-0.455434698,13.42503951,-2.739046936
109.06,-0.264526936,9.873754947,0.776273193
110.01,-0.121521158,8.673884812,-1.470968018
108.71,0.175000018,10.19181481,-1.807572327
107.07,0.005333059,10.24616836,-2.088135071
105.15,0.282306597,13.15920413,3.279771423
108.6,0.357881339,17.86863772,1.426939392
110.2,-0.508003756,8.791302641,0.537464905
110.91,-0.020807279,8.608379552,0.156619873
111.24,-0.263991014,6.335844704,-0.228243103
111.19,0.303751748,8.260368607,-0.048436584
111.31,0.462852075,12.08369736,-0.425394592
111.06,-0.393680574,7.326580446,1.962567749
113.2,0.047687355,7.675965692,0.142185974
113.52,-0.118077308,6.769608324,-0.956447144
112.74,0.022766161,6.923726318,0.028585205
112.95,0.260243577,8.725581624,0.341107178
113.47,-0.312393475,5.99976686,-0.10584137
113.54,1.240683741,13.44358005,0.650734863
114.37,-0.471538374,7.104416168,0.643336182
115.19,0.0245241,7.278645578,-0.806661072
114.56,-0.337502666,4.822083292,-0.056368408
114.68,0.877658052,9.05422352,-0.639846497
114.22,-0.294081175,6.391546824,-0.541342468
113.86,-0.244092032,4.831421174,0.90877594
114.95,0.185177331,5.726090851,-0.5722229
114.56,-0.114319297,5.071488171,1.395856323
116.14,0.080004887,5.477232011,-0.351791992
115.97,0.011802922,5.541879356,1.175210266
117.33,0.244671099,6.897817071,0.343980713
117.86,-0.353426921,4.459942819,1.033974304
119.08,0.444763287,6.443561647,-0.817892151
118.45,-0.456291794,3.503417346,-0.637545776
118,0.609862196,5.640019142,0.004776001
118.19,-0.001542515,5.631319329,-1.687322083
116.69,0.331035234,7.495484441,-0.063451233
116.81,-0.203329121,5.971434181,-2.385393677
114.61,1.950339876,17.61776038,1.036408081
115.83,-0.539606777,8.111097477,-0.035429077
115.98,-0.346874234,5.297566752,-0.151546936
116.01,-0.264994018,3.893743251,-0.364827881
115.83,0.233114682,4.801431972,0.90664093
116.92,4.147553971,24.71563021,-0.13395874
116.97,-0.811742978,4.652890939,0.322350769
117.48,0.079706323,5.023755767,-1.05485199
116.61,0.162790414,5.840607537,0.309219971
117.11,-0.120965624,5.134094799,0.752060547
118.05,-0.236042559,3.922229924,-1.040524292
117.2,0.696161077,6.65273373,0.559902954
117.95,0.450293309,9.648415215,-0.380908203
117.76,-0.354750377,6.225636276,-0.048925171
117.9,-0.016877575,6.120562634,-2.516569519
115.57,0.126584537,6.895331219,-0.611976929
115.14,-0.16760611,5.739631577,0.733176575
116.06,-0.25085153,4.299836215,0.205022278
116.45,0.224570764,5.26545372,0.403378296
117.04,-0.162904299,4.407688674,0.091698608
117.32,0.089202087,4.800863703,0.034454041
117.54,0.777519958,8.533631049,-0.08927063
117.64,-0.570657675,3.663848999,-0.855553284
116.97,1.971395182,10.88674326,2.387154846
119.55,-0.380165387,6.747980297,-0.529949951
119.21,-0.490692687,3.436795711,0.457976379
119.86,0.715249802,5.894963164,-0.912696228
119.14,-0.297923706,4.138713892,0.088881836
119.42,0.452860503,6.012973948,0.307767944
119.92,-0.134103357,5.206613953,-1.210863037
118.9,0.289095958,6.711825002,0.729493713
119.82,0.023298344,6.876171467,-7.582962341
112.42,2.422219682,23.53176933,0.7909375
113.39,-0.486657543,12.07985629,1.003501282
114.58,-0.249673736,9.063833446,0.33632843
115.1,-0.334631104,6.030792851,0.343534851
115.63,-0.293579187,4.26027759,0.542966003
116.36,0.006182779,4.286617945,0.732735291
117.28,0.175819138,5.040287416,-1.187905579
116.28,0.216745257,6.132745809,-1.202119141
115.26,-0.121392557,5.388276116,-0.483564148
114.97,-0.226686939,4.166824295,-2.929465027
112.22,0.607365833,6.697611005,0.612771301
113.02,-0.066092839,6.254946877,1.252766113
114.46,-0.167860751,5.204986796,-0.246743164
114.4,-0.240753108,3.951870049,-0.835974121
113.75,0.116550088,4.412460849,-0.686592102
113.25,0.075432753,4.745304919,-0.112480164
113.32,-0.023956939,4.631621937,-1.310707397
112.19,1.460919133,11.39804704,0.68021637
113.05,-0.378476937,7.084149113,0.034136963
113.27,0.577609076,11.17601793,-0.02188446
113.43,-0.373846777,6.99789965,-0.673530273
112.94,-0.418241671,4.071086409,0.693293152
113.82,0.365229788,5.557968433,-1.273094482
112.73,-0.302912473,3.874390469,0.474711914
113.39,0.801397125,6.979315851,-0.154404297
113.42,-0.301824466,4.87278757,-1.652330322
111.95,0.021771132,4.978873672,-0.328890991
111.8,0.769617989,8.810704416,-0.012112427
111.97,-0.508631043,4.329306639,-0.20184967
111.95,0.465604923,6.345053123,0.307888794
112.44,0.693472969,10.74517595,-3.126813354
109.49,0.441963676,15.49415341,-1.088464966
108.58,-0.597411009,6.237775594,-1.812376099
106.94,0.279652298,7.982183873,1.54349762
108.66,-0.25449571,5.950752318,-0.02807251
108.81,0.593408816,9.481981207,1.171483459
110.16,-0.541210181,4.350236443,-1.297870789
109.04,0.559258219,6.783141927,-3.095168152
106.12,0.574207854,10.67807529,-0.561673279
105.73,0.174782928,12.54442056,-1.314732056
104.59,-0.227467042,9.715202187,0.71783844
105.48,-0.266187447,7.12913732,-3.062733154
102.59,0.40439469,10.01212259,0.420734558
